,movieId,title,genres
0,11,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
1,103,Jumanji (1995),Adventure|Children|Fantasy
2,425,Grumpier Old Men (1995),Comedy|Romance
3,453,Father of the Bride Part II (1995),Comedy
4,130,Heat (1995),Action|Crime|Thriller
5,400,Sabrina (1995),Comedy|Romance
6,66,GoldenEye (1995),Action|Adventure|Thriller
7,252,"American President, The (1995)",Comedy|Drama|Romance
8,197,Casino (1995),Crime|Drama
9,277,Sense and Sensibility (1995),Drama|Romance
10,175,Ace Ventura: When Nature Calls (1995),Comedy
11,172,Get Shorty (1995),Comedy|Crime|Thriller
12,722,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller
13,226,Leaving Las Vegas (1995),Drama|Romance
14,682,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi
15,672,Dangerous Minds (1995),Drama
16,31,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller
17,74,Babe (1995),Children|Drama
18,273,Dead Man Walking (1995),Crime|Drama
19,123,Clueless (1995),Comedy|Romance
20,501,Mortal Kombat (1995),Action|Adventure|Fantasy
21,15,Seven (a.k.a. Se7en) (1995),Mystery|Thriller
22,266,Pocahontas (1995),Animation|Children|Drama|Musical|Romance
23,13,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
24,700,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance
25,763,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy
26,209,Mr. Holland's Opus (1995),Drama
27,384,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller
28,189,Broken Arrow (1996),Action|Adventure|Thriller
29,138,Happy Gilmore (1996),Comedy
30,7,Braveheart (1995),Action|Drama|War
31,120,Taxi Driver (1976),Crime|Drama|Thriller
32,494,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime
33,185,"Birdcage, The (1996)",Comedy
34,435,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller
35,17,Apollo 13 (1995),Adventure|Drama|IMAX
36,539,Rob Roy (1995),Action|Drama|Romance|War
37,59,Batman Forever (1995),Action|Adventure|Comedy|Crime
38,315,Casper (1995),Adventure|Children
39,372,Congo (1995),Action|Adventure|Mystery|Sci-Fi
40,126,Crimson Tide (1995),Drama|Thriller|War
41,281,Desperado (1995),Action|Romance|Western
42,48,Die Hard: With a Vengeance (1995),Action|Crime|Thriller
43,392,First Knight (1995),Action|Drama|Romance
44,730,Hackers (1995),Action|Adventure|Crime|Thriller
45,412,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller
46,311,Judge Dredd (1995),Action|Crime|Sci-Fi
47,721,Mallrats (1995),Comedy|Romance
48,99,"Net, The (1995)",Action|Crime|Thriller
49,464,Nine Months (1995),Comedy|Romance
50,748,Showgirls (1995),Drama
51,527,Species (1995),Horror|Sci-Fi
52,97,Waterworld (1995),Action|Adventure|Sci-Fi
53,451,Billy Madison (1995),Comedy
54,121,Clerks (1994),Comedy
55,616,Don Juan DeMarco (1995),Comedy|Drama|Romance
56,423,Disclosure (1994),Drama|Thriller
57,62,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy
58,255,Ed Wood (1994),Comedy|Drama
59,514,French Kiss (1995),Action|Comedy|Romance
