Dataset,Number_Of_Candidates,Number_of_voters,Max_Ballot_length,Preferred_winner,Upper_Bound,heuristicV1_margin,Our_margin,Blom_margin,heuristicV1_runtime,Our_runtime,Blom_runtime,Margin_Blom=Ours,Upper_bound_correct,HeuristicV1_equl_margin,Our_number_LPS,Blom_number_LPS,Our_number_node_explored,Blom_number_node_explored,Our_blom_lb_calls,Blom_Leaf_node_explored,Our_Time_distanceTo,Blom_Time_distanceTo,Our_Time_lbcall,Blom_Time_lbcall
foods_n=10_ballot=4,10,74,4,2,19,19,19,19,0.001558,6.7402146,684.632827,1,1,1,0,22456,22457,22457,1.7714154,1070,4.8338965,660.8808811,0.0001348,1.8163317
foods_n=10_ballot=4,10,74,4,1,15,15,15,15,0.0022919,0.4023242,6.0108549,1,1,1,0,938,1904,1904,0.2606491,0,0.1331867,5.5119113,0.0002897,0.2767155
foods_n=9_ballot=4,9,72,4,2,19,19,19,19,0.0011835,0.8641311,68.8375208,1,1,1,0,4473,4474,4474,0.2417533,328,0.6035829,66.2017411,0.0001081,0.2725511
foods_n=9_ballot=4,9,72,4,1,15,15,15,15,0.0036397,0.0733471,0.8905362,1,1,1,0,203,428,428,0.0477432,0,0.0205601,0.8101319,0.000332,0.0499685
foods_n=9_ballot=4,9,72,4,0,15,15,15,15,0.0008092,0.0431287,0.7056799,1,1,1,0,159,349,349,0.0298784,0,0.0113817,0.6351607,0.0001267,0.045233
foods_n=8_ballot=4,8,70,4,2,18,18,18,18,0.0002134,0.0575457,1.2937906,1,1,1,0,268,375,375,0.0283547,0,0.027641,1.2215694,9.16E-05,0.027111
foods_n=8_ballot=4,8,70,4,1,13,13,13,13,0.0002434,0.0073917,0.0862305,1,1,1,0,25,68,68,0.0055756,0,0.0013014,0.0736356,0.0001007,0.009667
foods_n=8_ballot=4,8,70,4,0,15,15,15,15,0.0002662,0.0100372,0.1409663,1,1,1,0,40,97,97,0.0072418,0,0.0021551,0.1268436,0.0001143,0.0098143
foods_n=7_ballot=4,7,69,4,2,0,0,0,0,0.0002353,0.000322,0.0003128,1,1,1,0,0,1,1,0,0,0,0,7.48E-05,7.15E-05
foods_n=7_ballot=4,7,69,4,1,13,13,13,13,0.0001806,0.0043515,0.0827726,1,1,1,0,25,56,56,0.0029117,0,0.0010442,0.0741642,7.64E-05,0.0056247
foods_n=7_ballot=4,7,69,4,0,14,14,14,14,0.0003356,0.0068861,0.0980752,1,1,1,0,29,57,57,0.0042554,0,0.0020108,0.0910886,0.0001258,0.003907
foods_n=6_ballot=4,6,68,4,2,0,0,0,0,0.0003348,0.0004481,0.0002335,1,1,1,0,0,1,1,0,0,0,0,0.0001147,5.31E-05
foods_n=6_ballot=4,6,68,4,1,11,11,11,11,0.0001229,0.0010717,0.0142561,1,1,1,0,7,18,18,0.0006437,0,0.0001917,0.0129548,5.52E-05,0.0007707
foods_n=6_ballot=4,6,68,4,0,14,14,14,14,0.000123,0.0012862,0.0322627,1,1,1,0,10,21,21,0.0007366,0,0.0003094,0.0298888,5.75E-05,0.0015033
foods_n=5_ballot=4,5,67,4,2,0,0,0,0,0.0001236,0.000169,0.0001637,1,1,1,0,0,1,1,0,0,0,0,3.93E-05,3.61E-05
foods_n=5_ballot=4,5,67,4,1,11,11,11,11,0.0001605,0.0006535,0.0093879,1,1,1,0,7,14,14,0.0003207,0,0.0001661,0.0085972,4.07E-05,0.0003983
foods_n=5_ballot=4,5,67,4,0,14,14,14,14,8.45E-05,0.0006539,0.0296084,1,1,1,0,8,13,13,0.0002857,0,0.0002097,0.0286774,3.87E-05,0.0004145
foods_n=4_ballot=4,4,64,4,2,0,0,0,0,7.04E-05,9.98E-05,9.51E-05,1,1,1,0,0,1,1,0,0,0,0,2.28E-05,2.04E-05
foods_n=4_ballot=4,4,64,4,1,11,11,11,11,0.0001187,0.0002677,0.0166019,1,1,1,0,5,8,8,8.92E-05,0,8.24E-05,0.0161794,2.34E-05,0.0001366
foods_n=4_ballot=4,4,64,4,0,11,11,11,11,4.37E-05,0.0002625,0.0146365,1,1,1,0,5,8,8,8.86E-05,0,8.11E-05,0.0135597,2.26E-05,0.0001684
foods_n=11_ballot=4,11,76,4,2,20,20,20,20,0.0031313,44.0815352,600.129901,1,1,1,0,30478,120545,120545,11.2040093,0,32.0002043,575.7462291,0.0001541,3.7115544
foods_n=11_ballot=4,11,76,4,1,15,15,15,15,0.0017015,4.7370933,160.5676569,1,1,1,0,12051,20111,20111,2.4512148,0,2.2009247,152.9082423,0.0001604,2.1561688
foods_n=12_ballot=4,12,76,4,1,15,15,15,15,0.0039163,22.6082044,600.0114215,1,1,1,0,35857,67003,67003,12.5329151,0,9.6330834,570.9484072,0.0002137,8.7326842
