Dataset,Number_Of_Candidates,Number_of_voters,Max_Ballot_length,Preferred_winner,Upper_Bound,heuristicV1_margin,Our_margin,Blom_margin,heuristicV1_runtime,Our_runtime,Blom_runtime,Margin_Blom=Ours,Upper_bound_correct,HeuristicV1_equl_margin,Our_number_LPS,Blom_number_LPS,Our_number_node_explored,Blom_number_node_explored,Our_blom_lb_calls,Blom_Leaf_node_explored,Our_Time_distanceTo,Blom_Time_distanceTo,Our_Time_lbcall,Blom_Time_lbcall
movieLens_movie=9_ballot=4,9,525,4,Action,71,71,0,0,0.0212095,0.3210782,1.2070605,1,1,0,0,299,300,300,0.1859165,2,0.1161567,0.9188031,0.0034575,0.2420222
movieLens_movie=9_ballot=4,9,525,4,Comedy,12,12,1,1,0.0066333,0.227165,0.8300919,1,1,0,0,145,240,240,0.1538971,3,0.0643808,0.6286849,0.0013701,0.1686465
movieLens_movie=9_ballot=4,9,525,4,Crime,58,58,36,36,0.0076198,1.232153,6.9234947,1,1,0,0,1120,1121,1121,0.5281118,7,0.6905641,6.1546617,0.0014473,0.5108909
movieLens_movie=8_ballot=4,8,523,4,Action,71,71,0,0,0.0061706,0.1736596,0.7308598,1,1,0,0,191,192,192,0.0957072,1,0.068821,0.5755726,0.0023674,0.129455
movieLens_movie=8_ballot=4,8,523,4,Comedy,15,15,6,6,0.0051852,0.1348895,0.4929036,1,1,0,0,116,201,201,0.0860451,2,0.0441871,0.3702784,0.0010915,0.1066297
movieLens_movie=8_ballot=4,8,523,4,Crime,36,36,36,36,0.0027338,0.198931,0.8052197,1,1,1,0,192,266,266,0.1098057,0,0.0821507,0.6585946,0.0021075,0.1215494
movieLens_movie=7_ballot=4,7,521,4,Action,69,69,0,0,0.0027946,0.0474053,0.1926245,1,1,0,0,52,53,53,0.0231388,1,0.0199613,0.1552423,0.0011412,0.0288573
movieLens_movie=7_ballot=4,7,521,4,Comedy,2,2,2,2,0.0018711,0.0256101,0.0557451,1,1,1,0,15,58,58,0.0202261,0,0.0024052,0.028957,0.0007569,0.0238074
movieLens_movie=7_ballot=4,7,521,4,Crime,52,52,52,52,0.0018771,0.1057876,0.69956,1,1,1,0,166,214,214,0.0505255,0,0.0517854,0.6059719,0.000783,0.06949
movieLens_movie=6_ballot=4,6,517,4,Action,69,69,0,0,0.0011962,0.0078238,0.0554033,1,1,0,0,20,21,21,0.0031462,1,0.0028549,0.0470776,0.0005543,0.0054477
movieLens_movie=6_ballot=4,6,517,4,Comedy,1,1,1,1,0.0011737,0.0059937,0.0121345,1,1,1,0,7,19,19,0.0034782,0,0.000782,0.0068428,0.000488,0.0038182
movieLens_movie=6_ballot=4,6,517,4,Crime,53,53,53,53,0.0011795,0.0211384,0.1837811,1,1,1,0,51,74,74,0.0105562,0,0.0086813,0.157831,0.0004968,0.019106
movieLens_movie=5_ballot=4,5,499,4,Comedy,28,28,0,0,0.0005806,0.0039097,0.056191,1,1,0,0,17,20,20,0.0014466,1,0.0015563,0.0518851,0.000247,0.0021905
movieLens_movie=5_ballot=4,5,499,4,Crime,92,92,87,87,0.0019575,0.0176109,0.2058261,1,1,0,0,53,54,54,0.0055436,7,0.0096401,0.192607,0.0005559,0.0057687
movieLens_movie=5_ballot=4,5,499,4,Action,55,55,55,55,0.0012287,0.0033722,0.0105461,1,1,1,0,4,5,5,0.0011672,0,0.0007466,0.0066432,0.0003684,0.0017888
movieLens_movie=4_ballot=4,4,472,4,Comedy,28,28,0,0,0.0004716,0.0011098,0.0216506,1,1,0,0,7,10,10,0.0003226,1,0.0003369,0.0201267,0.0001206,0.0005298
movieLens_movie=4_ballot=4,4,472,4,Crime,92,92,87,87,0.0004135,0.0029402,0.0650277,1,1,0,0,18,19,19,0.0007497,4,0.0014587,0.0609636,0.0001841,0.001242
movieLens_movie=10_ballot=4,10,528,4,Action,68,68,2,2,0.0169327,0.6691601,3.1802103,1,1,0,0,501,502,502,0.3842137,4,0.2548467,2.6632165,0.0074818,0.4012788
movieLens_movie=10_ballot=4,10,528,4,Comedy,11,11,0,0,0.0087336,0.3134301,1.1901145,1,1,0,0,185,295,295,0.2188811,2,0.0827756,0.9244057,0.0018655,0.2224013
movieLens_movie=10_ballot=4,10,528,4,Crime,58,58,37,37,0.0092418,3.7479184,23.3047359,1,1,0,0,2624,2625,2625,1.6379045,20,2.0812862,21.0938137,0.0019862,1.4403456
movieLens_movie=10_ballot=4,10,528,4,Drama,107,107,93,93,0.0044724,5.4026858,92.1928122,1,1,0,0,4082,4083,4083,1.647631,157,3.7293239,88.0699427,0.0009068,1.4429259
movieLens_movie=11_ballot=4,11,530,4,Action,72,72,0,0,0.037703,1.0973968,4.8751255,1,1,0,0,635,636,636,0.6347241,4,0.4067354,4.0996056,0.0143424,0.6176293
movieLens_movie=11_ballot=4,11,530,4,Comedy,11,11,2,2,0.0147107,0.7502402,4.5183735,1,1,0,0,305,539,539,0.5175673,4,0.2190417,3.9432417,0.0019513,0.45082
