,Dataset,Number_Of_Candidates,Number_of_voters,Max_Ballot_length,Preferred_winner,Upper_Bound,heuristicV1_margin,Our_margin,Blom_margin,heuristicV1_runtime,Our_runtime,Blom_runtime,Margin_Blom=Ours,Upper_bound_correct,HeuristicV1_equl_margin,Our_number_LPS,Blom_number_LPS,Our_number_node_explored,Blom_number_node_explored,Our_blom_lb_calls,Blom_Leaf_node_explored,Our_Time_distanceTo,Blom_Time_distanceTo,Our_Time_lbcall,Blom_Time_lbcall
10,adressa=4_ballot=4,4,457,4,virginia,38,38,38,38,0.0002473,0.0018706,0.0559389,1,1,1,0,5,6,6,0.0003162,0,0.0011788,0.0541719,0.0001054,0.0004377
12,adressa=4_ballot=4,4,457,4,new hampshire,113,113,104,104,0.0002472,0.0028484,0.0328233,1,1,0,0,8,9,9,0.0004056,1,0.0020586,0.0310407,0.0001031,0.0007441
15,adressa=4_ballot=4,4,457,4,rio grande do norte,25,25,5,5,0.0004899,0.0070035,0.02635,1,1,0,0,12,14,14,0.0013098,1,0.0049287,0.0241846,0.0002094,0.0009902
25,adressa=4_ballot=4,4,457,4,georgia,38,38,38,38,0.0002465,0.0019516,0.0061306,1,1,1,0,5,6,6,0.00033,0,0.0012301,0.0051817,0.0001257,0.0004573
31,adressa=4_ballot=4,4,457,4,faro,38,38,38,38,0.0004114,0.002377,0.0085153,1,1,1,0,5,6,6,0.0003956,0,0.0015155,0.0073815,0.000131,0.0005425
39,adressa=4_ballot=4,4,457,4,capital federal,38,38,38,38,0.0002839,0.0040707,0.0119449,1,1,1,0,5,6,6,0.0008021,0,0.0022208,0.0109969,0.0003375,0.0004293
41,adressa=4_ballot=4,4,457,4,granada,38,38,38,38,0.0002482,0.0018581,0.0108249,1,1,1,0,5,6,6,0.0003126,0,0.0011721,0.0096007,0.0001087,0.0005789
43,adressa=4_ballot=4,4,457,4,valladolid,38,38,38,38,0.0003118,0.0029941,0.0088356,1,1,1,0,5,6,6,0.000552,0,0.0019936,0.0075306,0.0001266,0.0006958
44,adressa=4_ballot=4,4,457,4,worcestershire,113,113,104,104,0.0003018,0.0035082,0.0255441,1,1,0,0,8,9,9,0.0004926,1,0.0025427,0.0238725,0.0001272,0.0007616
45,adressa=4_ballot=4,4,457,4,victoria,38,38,38,38,0.0003001,0.0022359,0.0123788,1,1,1,0,5,6,6,0.0003768,0,0.0014118,0.0110626,0.0001269,0.00068
48,adressa=4_ballot=4,4,457,4,western australia,113,113,104,104,0.0003641,0.0067512,0.0238043,1,1,0,0,8,9,9,0.0010681,1,0.0045076,0.0216562,0.0003284,0.0010806
57,adressa=4_ballot=4,4,457,4,milton keynes,25,25,5,5,0.0011527,0.0050747,0.0334588,1,1,0,0,12,14,14,0.000742,1,0.003523,0.0302183,0.0002087,0.0016542
58,adressa=4_ballot=4,4,457,4,minnesota,38,38,38,38,0.0008588,0.0062182,0.0116358,1,1,1,0,5,6,6,0.0010918,0,0.0038257,0.0091123,0.0003873,0.0013877
60,adressa=4_ballot=4,4,457,4,ho chi minh,38,38,38,38,0.000266,0.0036441,0.0108033,1,1,1,0,5,6,6,0.0007394,0,0.0023079,0.0097494,0.0002484,0.0005289
61,adressa=4_ballot=4,4,457,4,schleswig-holstein,38,38,38,38,0.000288,0.0020518,0.0116652,1,1,1,0,5,6,6,0.0003444,0,0.0012974,0.0107,0.0001162,0.0004653
63,adressa=4_ballot=4,4,457,4,san pawl il bahar,38,38,38,38,0.0003487,0.0038519,0.0094517,1,1,1,0,5,6,6,0.000739,0,0.0023261,0.0084425,0.0002491,0.0004854
65,adressa=4_ballot=4,4,457,4,zug,38,38,38,38,0.0005343,0.0020164,0.0120685,1,1,1,0,5,6,6,0.000337,0,0.0012768,0.0106919,0.0001142,0.0007242
68,adressa=4_ballot=4,4,457,4,oaxaca,113,113,104,104,0.0002658,0.0030757,0.0234957,1,1,0,0,8,9,9,0.000436,1,0.0022279,0.0220594,0.0001109,0.0005865
69,adressa=4_ballot=4,4,457,4,rayong,38,38,38,38,0.0002673,0.0019983,0.0108074,1,1,1,0,5,6,6,0.0003368,0,0.0012615,0.0097688,0.0001146,0.0005036
73,adressa=4_ballot=4,4,457,4,bali,38,38,38,38,0.0003023,0.0020847,0.0133019,1,1,1,0,5,6,6,0.0003509,0,0.0013037,0.0123234,0.00012,0.0004636
76,adressa=4_ballot=4,4,457,4,phrae,38,38,38,38,0.0002736,0.002108,0.0069683,1,1,1,0,5,6,6,0.0003595,0,0.0013369,0.0059472,0.0001158,0.0005017
79,adressa=4_ballot=4,4,457,4,australian capital territory,38,38,38,38,0.0002659,0.0019964,0.0130227,1,1,1,0,5,6,6,0.0003384,0,0.0012615,0.0119328,0.0001133,0.0005438
81,adressa=4_ballot=4,4,457,4,ha noi,25,25,5,5,0.0005194,0.0074328,0.0362967,1,1,0,0,12,14,14,0.0013539,1,0.0052616,0.0333401,0.0002232,0.001601
83,adressa=4_ballot=4,4,457,4,tarlac,38,38,38,38,0.0005311,0.0020055,0.0070696,1,1,1,0,5,6,6,0.0003368,0,0.0012664,0.0061179,0.0001138,0.0004635
84,adressa=4_ballot=4,4,457,4,pattaya,38,38,38,38,0.0002689,0.0019934,0.0177504,1,1,1,0,5,6,6,0.0003375,0,0.0012564,0.0160952,0.0001127,0.0010003
85,adressa=4_ballot=4,4,457,4,colorado,38,38,38,38,0.000779,0.0039465,0.0115315,1,1,1,0,5,6,6,0.0007472,0,0.0023647,0.0104427,0.0002527,0.0005765
88,adressa=4_ballot=4,4,457,4,chon buri,113,113,38,38,0.0004934,0.0048302,0.0364378,1,1,0,0,12,13,13,0.0006928,2,0.0033804,0.0339516,0.0002081,0.0010623
89,adressa=4_ballot=4,4,457,4,yilan county,38,38,38,38,0.0002817,0.0022281,0.014178,1,1,1,0,5,6,6,0.0003545,0,0.0014143,0.0130983,0.0001288,0.0005433
92,adressa=4_ballot=4,4,457,4,michigan,38,38,38,38,0.0002798,0.0020699,0.008551,1,1,1,0,5,6,6,0.0003604,0,0.0012925,0.0076072,0.000119,0.0004509
93,adressa=4_ballot=4,4,457,4,masqat,38,38,38,38,0.0002473,0.0018637,0.0136135,1,1,1,0,5,6,6,0.0003339,0,0.0011629,0.0127108,0.0001044,0.0004295
95,adressa=4_ballot=4,4,457,4,basnahira palata,38,38,38,38,0.0002686,0.0019971,0.0131112,1,1,1,0,5,6,6,0.0003495,0,0.0012488,0.0121736,0.0001131,0.0004458
99,adressa=4_ballot=4,4,457,4,nova scotia,38,38,38,38,0.0002472,0.0018368,0.0086523,1,1,1,0,5,6,6,0.0003109,0,0.0011615,0.0077747,0.0001035,0.0004293
102,adressa=4_ballot=4,4,457,4,wielkopolskie,38,38,38,38,0.0005809,0.0021396,0.0088349,1,1,1,0,5,6,6,0.0003711,0,0.0013822,0.0079476,0.0001036,0.0004314
103,adressa=4_ballot=4,4,457,4,oklahoma,25,25,5,5,0.0004846,0.0043835,0.0387956,1,1,0,0,12,14,14,0.0007179,1,0.002921,0.0365739,0.0002044,0.001055
105,adressa=4_ballot=4,4,457,4,zurich,38,38,38,38,0.0002457,0.001841,0.0133108,1,1,1,0,5,6,6,0.0003128,0,0.0011636,0.0121961,0.0001037,0.0005216
108,adressa=4_ballot=4,4,457,4,hallands lan,25,25,5,5,0.0007395,0.006419,0.0379399,1,1,0,0,12,14,14,0.0010572,1,0.0042329,0.0343694,0.0003186,0.0017679
110,adressa=4_ballot=4,4,457,4,dublin,113,113,38,38,0.001057,0.0128946,0.0393135,1,1,0,0,12,13,13,0.0026728,2,0.0085908,0.0358824,0.0004492,0.0014535
112,adressa=4_ballot=4,4,457,4,burgos,38,38,38,38,0.0004272,0.0030512,0.0079521,1,1,1,0,5,6,6,0.0005281,0,0.0018907,0.0067151,0.0001794,0.0006117
118,adressa=4_ballot=4,4,457,4,norrbottens lan,25,25,5,5,0.0005998,0.0048922,0.0295634,1,1,0,0,12,14,14,0.0007886,1,0.0032176,0.0264581,0.0002266,0.0015279
119,adressa=4_ballot=4,4,457,4,murcia,113,113,5,5,0.0014176,0.0075339,0.0440258,1,1,0,0,16,17,17,0.0011532,1,0.0052761,0.0405714,0.000303,0.0018405
123,adressa=4_ballot=4,4,457,4,ostrobothnia,38,38,38,38,0.0002731,0.0020656,0.0127352,1,1,1,0,5,6,6,0.0003613,0,0.0013003,0.0117236,0.0001148,0.0005133
126,adressa=4_ballot=4,4,457,4,varna,113,113,104,104,0.0002727,0.0031282,0.0216357,1,1,0,0,8,9,9,0.0004456,1,0.002267,0.0202839,0.0001122,0.0006375
127,adressa=4_ballot=4,4,457,4,zuid-holland,113,113,38,38,0.000532,0.0074555,0.0375724,1,1,0,0,12,13,13,0.0009707,2,0.0054053,0.034473,0.0004192,0.0013407
128,adressa=4_ballot=4,4,457,4,dubayy,38,38,38,38,0.0002913,0.0021223,0.0150582,1,1,1,0,5,6,6,0.0003545,0,0.0013231,0.0137588,0.0001202,0.0005948
135,adressa=4_ballot=4,4,457,4,nakhon si thammarat,25,25,5,5,0.0005647,0.0051204,0.0274847,1,1,0,0,12,14,14,0.0008405,1,0.0034148,0.0251373,0.0002414,0.0011203
140,adressa=4_ballot=4,4,457,4,oxfordshire,113,113,104,104,0.0002885,0.0033293,0.023124,1,1,0,0,8,9,9,0.0004814,1,0.0024063,0.0217419,0.0001203,0.0006284
144,adressa=4_ballot=4,4,457,4,vastmanlands lan,113,113,104,104,0.0002896,0.0038473,0.0200293,1,1,0,0,8,9,9,0.0005385,1,0.0028628,0.0186452,0.0001187,0.0006294
147,adressa=4_ballot=4,4,457,4,orebro lan,38,38,38,38,0.0002932,0.0027701,0.0108477,1,1,1,0,5,6,6,0.0004752,0,0.0018576,0.0092543,0.0001224,0.0007042
152,adressa=4_ballot=4,4,457,4,latina,113,113,104,104,0.0002926,0.0033907,0.0208661,1,1,0,0,8,9,9,0.0004787,1,0.0024304,0.019144,0.0001238,0.0007661
153,adressa=4_ballot=4,4,457,4,kastoria,38,38,38,38,0.0005013,0.0043111,0.0117268,1,1,1,0,5,6,6,0.0008291,0,0.0025362,0.0106724,0.0002816,0.0004973
154,adressa=4_ballot=4,4,457,4,united states,25,25,5,5,0.0005977,0.0052208,0.0296258,1,1,0,0,12,14,14,0.0008407,1,0.0034472,0.0270763,0.000249,0.0012071
158,adressa=4_ballot=4,4,457,4,uppsala lan,113,113,5,5,0.0008591,0.0069529,0.0499112,1,1,0,0,16,17,17,0.0011019,1,0.0045295,0.0463753,0.0003665,0.0017256
161,adressa=4_ballot=4,4,457,4,liverpool,38,38,38,38,0.0005705,0.0022275,0.0121796,1,1,1,0,5,6,6,0.0003737,0,0.0014224,0.0108295,0.0001221,0.0007514
169,adressa=4_ballot=4,4,457,4,khon kaen,38,38,38,38,0.0003072,0.0023138,0.0160237,1,1,1,0,5,6,6,0.000391,0,0.0014913,0.0149169,0.0001222,0.0005068
179,adressa=4_ballot=4,4,457,4,central finland,38,38,38,38,0.0002449,0.0018382,0.0105904,1,1,1,0,5,6,6,0.000312,0,0.0011627,0.0096579,0.0001034,0.000444
181,adressa=4_ballot=4,4,457,4,nidwalden,38,38,38,38,0.0002723,0.0019543,0.0139872,1,1,1,0,5,6,6,0.0003359,0,0.0011865,0.0129829,0.0001263,0.0004692
182,adressa=4_ballot=4,4,457,4,manila,38,38,38,38,0.0002772,0.0021064,0.0135716,1,1,1,0,5,6,6,0.0003501,0,0.0013324,0.0125524,0.0001198,0.000489
184,adressa=4_ballot=4,4,457,4,stockton-on-tees,113,113,104,104,0.00028,0.0032037,0.0231941,1,1,0,0,8,9,9,0.0004744,1,0.0023009,0.0218726,0.0001162,0.0005989
185,adressa=4_ballot=4,4,457,4,solothurn,38,38,38,38,0.0002819,0.0020797,0.0130451,1,1,1,0,5,6,6,0.0003707,0,0.0012898,0.0120578,0.0001203,0.0004775
188,adressa=4_ballot=4,4,457,4,moray,38,38,38,38,0.0002832,0.0022395,0.0108294,1,1,1,0,5,6,6,0.000346,0,0.0014308,0.0096527,0.0001129,0.0006232
189,adressa=4_ballot=4,4,457,4,guangdong,38,38,38,38,0.0002739,0.002048,0.0155736,1,1,1,0,5,6,6,0.0003454,0,0.0012922,0.0139587,0.0001157,0.0007598
194,adressa=4_ballot=4,4,457,4,islas baleares,113,113,38,38,0.0004746,0.005606,0.0343583,1,1,0,0,12,13,13,0.0006889,2,0.0041304,0.0322836,0.0002021,0.0008599
198,adressa=4_ballot=4,4,457,4,huelva,38,38,38,38,0.0002508,0.0018555,0.0146562,1,1,1,0,5,6,6,0.0003114,0,0.0011658,0.0136551,0.0001066,0.0004867
199,adressa=4_ballot=4,4,457,4,syddanmark,113,113,104,104,0.0002811,0.0030364,0.0247228,1,1,0,0,8,9,9,0.0004448,1,0.0021794,0.0234527,0.0001122,0.000541
202,adressa=4_ballot=4,4,457,4,hammersmith and fulham,38,38,38,38,0.0002441,0.0018454,0.0109114,1,1,1,0,5,6,6,0.0003116,0,0.0011632,0.0100204,0.0001044,0.0004329
203,adressa=4_ballot=4,4,457,4,quebec,38,38,38,38,0.000247,0.0024016,0.0134864,1,1,1,0,5,6,6,0.0003994,0,0.0012704,0.0125898,0.000229,0.0004411
205,adressa=4_ballot=4,4,457,4,chaiyaphum,38,38,38,38,0.0002663,0.0020111,0.012878,1,1,1,0,5,6,6,0.000337,0,0.0012753,0.0119254,0.0001123,0.0004555
208,adressa=4_ballot=4,4,457,4,dodekanisos,38,38,38,38,0.0002454,0.0018311,0.0114696,1,1,1,0,5,6,6,0.0003104,0,0.0011576,0.0104892,0.0001033,0.0005135
211,adressa=4_ballot=4,4,457,4,western cape,113,113,5,5,0.0005577,0.0043413,0.0318246,1,1,0,0,11,12,12,0.0006816,1,0.0028261,0.0290601,0.0002283,0.0014504
212,adressa=4_ballot=4,4,457,4,pichincha,38,38,38,38,0.0002602,0.0019217,0.00935,1,1,1,0,5,6,6,0.0003383,0,0.0011957,0.0082667,0.0001103,0.0005838
213,adressa=4_ballot=4,4,457,4,wandsworth,25,25,5,5,0.0002565,0.0029875,0.0273945,1,1,0,0,8,9,9,0.0004262,1,0.0021398,0.0258857,0.0001102,0.0006923
215,adressa=4_ballot=4,4,457,4,oregon,25,25,5,5,0.0002827,0.0047027,0.0232574,1,1,0,0,8,9,9,0.0006574,1,0.003602,0.0218039,0.0001183,0.0006181
216,adressa=4_ballot=4,4,457,4,delhi,25,25,5,5,0.0006879,0.0073563,0.0221856,1,1,0,0,8,9,9,0.0011957,1,0.0051583,0.0201445,0.0003125,0.000937
218,adressa=4_ballot=4,4,457,4,gelderland,25,25,5,5,0.0005617,0.0033628,0.0240428,1,1,0,0,8,9,9,0.0004753,1,0.0024362,0.0226427,0.0001354,0.000629
219,adressa=4_ballot=4,4,457,4,connecticut,25,25,5,5,0.0002922,0.0033436,0.0252741,1,1,0,0,8,9,9,0.0004792,1,0.0024095,0.0238042,0.0001236,0.0006361
220,adressa=4_ballot=4,4,457,4,ankara,25,25,5,5,0.0002918,0.0032985,0.0249144,1,1,0,0,8,9,9,0.000474,1,0.0023748,0.0234691,0.0001234,0.0006238
