Dataset,Number_Of_Candidates,Number_of_voters,Max_Ballot_length,Preferred_winner,Upper_Bound,heuristicV1_margin,Our_margin,Blom_margin,heuristicV1_runtime,Our_runtime,Blom_runtime,Margin_Blom=Ours,Upper_bound_correct,HeuristicV1_equl_margin,Our_number_LPS,Blom_number_LPS,Our_number_node_explored,Blom_number_node_explored,Our_blom_lb_calls,Blom_Leaf_node_explored
book=8_ballot=1000bs=4,8,1000,4,2002,20,20,2,2,0.0004429,0.14729,0.4454702,1,1,0,2,85,99,86,96,1
book=8_ballot=1000bs=4,8,1000,4,2001,6,6,2,2,0.0003643,0.0646347,0.5365862,1,1,0,1,98,99,99,74,1
book=8_ballot=1000bs=4,8,1000,4,1991,6,6,2,2,0.0011123,0.0431999,0.4863266,1,1,0,1,90,91,91,66,1
book=8_ballot=1000bs=4,8,1000,4,1999,13,13,7,7,0.0008522,0.5497593,3.4487475,1,1,0,11,434,602,435,557,1
book=8_ballot=1000bs=4,8,1000,4,2000,32,32,10,10,0.0004279,0.2869925,2.2760494,1,1,0,6,261,303,304,224,2
book=8_ballot=100bs=4,8,100,4,2002,5,5,2,2,9.34E-05,0.0907421,0.8832758,1,1,0,3,119,126,120,118,1
book=8_ballot=100bs=4,8,100,4,1991,5,5,2,2,0.0001699,3.0731622,2.0870918,1,1,0,94,250,572,251,466,1
book=8_ballot=100bs=4,8,100,4,1999,7,7,3,3,0.0002136,0.041757,1.3207002,1,1,0,1,189,202,190,200,1
book=8_ballot=100bs=4,8,100,4,2000,2,2,1,1,0.0001304,0.0385019,0.9299428,1,1,0,1,120,140,121,120,1
book=8_ballot=1500bs=4,8,1500,4,2002,12,12,6,6,0.000644,0.1600515,0.7942739,1,1,0,3,93,100,94,93,1
book=8_ballot=1500bs=4,8,1500,4,2001,0,0,0,0,0.000766,0.0019562,0.3930313,1,1,1,0,70,1,71,0,1
book=8_ballot=1500bs=4,8,1500,4,1991,26,26,13,13,0.0010184,0.2179944,1.5157766,1,1,0,4,203,298,204,284,1
book=8_ballot=1500bs=4,8,1500,4,1999,39,39,20,20,0.0011635,0.2671822,4.3089898,1,1,0,4,569,674,570,669,1
book=8_ballot=3000bs=4,8,3000,4,2002,39,39,20,20,0.0008876,0.0914818,1.3321367,1,1,0,1,142,161,143,155,1
book=8_ballot=3000bs=4,8,3000,4,2001,0,0,0,0,0.0007226,0.0022936,0.4183419,1,1,1,0,78,1,79,0,1
book=8_ballot=3000bs=4,8,3000,4,1991,57,57,29,29,0.0014693,0.1144471,2.1519583,1,1,0,1,238,254,239,250,1
book=8_ballot=3000bs=4,8,3000,4,1999,75,75,38,38,0.0045911,0.2294671,2.4183438,1,1,0,1,299,362,300,360,1
