Dataset,Number_Of_Candidates,Number_of_voters,Max_Ballot_length,Preferred_winner,Upper_Bound,heuristicV1_margin,Our_margin,Blom_margin,heuristicV1_runtime,Our_runtime,Blom_runtime,Margin_Blom=Ours,Upper_bound_correct,HeuristicV1_equl_margin,Our_number_LPS,Blom_number_LPS,Our_number_node_explored,Blom_number_node_explored,Our_blom_lb_calls,Blom_Leaf_node_explored
food=8_ballot=10bs=4,8,10,4,2,0,0,0.0,0.0,0.00040709999999988256,0.04739339999999981,0.3676071999999997,1,1,1,1,54,55,55,53,1
food=8_ballot=10bs=4,8,10,4,1,0,0,0.0,0.0,0.00037559999999992044,0.03311620000000026,0.2395965000000002,1,1,1,1,54,55,55,53,1
food=8_ballot=10bs=4,8,10,4,0,0,0,0.0,0.0,0.0003888999999999143,0.03366200000000008,0.2407830999999998,1,1,1,1,54,55,55,53,1
food=8_ballot=20bs=4,8,20,4,2,0,0,0.0,0.0,0.0005157999999996221,0.028966599999999953,0.1458803999999998,1,1,1,1,35,36,36,34,1
food=8_ballot=20bs=4,8,20,4,1,0,0,0.0,0.0,0.0005376999999997523,0.028486699999999754,0.1489167,1,1,1,1,35,36,36,34,1
food=8_ballot=20bs=4,8,20,4,0,0,0,0.0,0.0,0.0007047000000000025,0.052660800000000396,0.17656570000000027,1,1,1,1,35,36,36,34,1
food=8_ballot=30bs=4,8,30,4,2,0,0,0.0,0.0,0.0011089000000001903,0.03701449999999973,0.25710489999999986,1,1,1,1,44,45,45,43,1
food=8_ballot=30bs=4,8,30,4,1,0,0,0.0,0.0,0.0008797000000004829,0.05178320000000003,0.22350840000000005,1,1,1,1,44,45,45,43,1
food=8_ballot=30bs=4,8,30,4,0,0,0,0.0,0.0,0.0007731999999993633,0.03560610000000075,0.21699409999999997,1,1,1,1,44,45,45,43,1
food=8_ballot=50bs=4,8,50,4,2,0,0,0.0,0.0,0.0012920999999996852,0.04340309999999992,0.20498459999999952,1,1,1,1,48,49,49,47,1
food=8_ballot=50bs=4,8,50,4,1,0,0,0.0,0.0,0.0011352999999996172,0.034154499999999643,0.21255679999999977,1,1,1,1,48,49,49,47,1
food=8_ballot=50bs=4,8,50,4,0,0,0,0.0,0.0,0.0014643999999996993,0.03486860000000025,0.2384195,1,1,1,1,48,49,49,47,1
