Dataset,Number_Of_Candidates,Number_of_voters,Max_Ballot_length,Preferred_winner,Upper_Bound,heuristicV1_margin,Our_margin,Blom_margin,heuristicV1_runtime,Our_runtime,Blom_runtime,Margin_Blom=Ours,Upper_bound_correct,HeuristicV1_equl_margin,Our_number_LPS,Blom_number_LPS,Our_number_node_explored,Blom_number_node_explored,Our_blom_lb_calls,Blom_Leaf_node_explored
adressa=8_ballot=10000000bs=4,8,70,4,2,0,0,0.0,0.0,0.0015939999999998733,0.04158779999999984,0.20319740000000008,1,1,1,1,43,44,44,42,1
adressa=8_ballot=10000000bs=4,8,70,4,1,0,0,0.0,0.0,0.0017217999999998845,0.032263999999999626,0.22277799999999992,1,1,1,1,43,44,44,42,1
adressa=8_ballot=10000000bs=4,8,70,4,0,0,0,0.0,0.0,0.0017308000000002544,0.03898620000000008,0.2628140000000001,1,1,1,1,43,44,44,42,1
adressa=8_ballot=10000000bs=5,8,70,5,2,0,0,0.0,0.0,0.0017377000000000642,0.05481439999999971,0.206067,1,1,1,1,43,44,44,42,1
adressa=8_ballot=10000000bs=5,8,70,5,1,0,0,0.0,0.0,0.0015939999999998733,0.036513499999999866,0.17835429999999963,1,1,1,1,43,44,44,42,1
adressa=8_ballot=10000000bs=5,8,70,5,0,0,0,0.0,0.0,0.0014561000000004043,0.028764599999999696,0.16829309999999964,1,1,1,1,43,44,44,42,1
adressa=8_ballot=10000000bs=6,8,70,6,2,0,0,0.0,0.0,0.0014022999999996344,0.030124800000000285,0.17921059999999933,1,1,1,1,43,44,44,42,1
adressa=8_ballot=10000000bs=6,8,70,6,1,0,0,0.0,0.0,0.0014117000000002378,0.030389200000000116,0.21189639999999965,1,1,1,1,43,44,44,42,1
adressa=8_ballot=10000000bs=6,8,70,6,0,0,0,0.0,0.0,0.0016616999999996551,0.03795139999999986,0.19812799999999964,1,1,1,1,43,44,44,42,1
adressa=8_ballot=10000000bs=7,8,70,6,2,0,0,0.0,0.0,0.0016420999999997576,0.03547950000000011,0.18947740000000035,1,1,1,1,43,44,44,42,1
adressa=8_ballot=10000000bs=7,8,70,6,1,0,0,0.0,0.0,0.001551200000000641,0.03367939999999958,0.1790940000000001,1,1,1,1,43,44,44,42,1
adressa=8_ballot=10000000bs=7,8,70,6,0,0,0,0.0,0.0,0.00334140000000005,0.04498910000000045,0.2821781000000003,1,1,1,1,43,44,44,42,1
adressa=8_ballot=10000000bs=8,8,70,6,2,0,0,0.0,0.0,0.0019306000000005596,0.040430999999999884,0.22687719999999967,1,1,1,1,43,44,44,42,1
adressa=8_ballot=10000000bs=8,8,70,6,1,0,0,0.0,0.0,0.0016918999999999684,0.03193249999999992,0.19135610000000014,1,1,1,1,43,44,44,42,1
adressa=8_ballot=10000000bs=8,8,70,6,0,0,0,0.0,0.0,0.0017044999999997756,0.03797139999999999,0.1942433999999995,1,1,1,1,43,44,44,42,1
