Dataset,Number_Of_Candidates,Number_of_voters,Max_Ballot_length,Preferred_winner,Upper_Bound,heuristicV1_margin,Our_margin,Blom_margin,heuristicV1_runtime,Our_runtime,Blom_runtime,Margin_Blom=Ours,Upper_bound_correct,HeuristicV1_equl_margin,Our_number_LPS,Blom_number_LPS,Our_number_node_explored,Blom_number_node_explored,Our_blom_lb_calls,Blom_Leaf_node_explored
foods_n=4_ballot=4,4,36,4,2,0,0,0,0.0,9.559999999986246e-05,0.00017000000000022553,0.024534899999999915,1,1,1,0,8,1,9,0,1
foods_n=4_ballot=4,4,36,4,1,11,11,6.0,6.0,9.510000000023666e-05,0.04510170000000002,0.04720309999999994,1,1,0,10,10,11,11,9,1
foods_n=4_ballot=4,4,36,4,0,11,11,6.0,6.0,0.0001116999999997148,0.04751189999999994,0.050066900000000025,1,1,0,10,10,11,11,9,1
foods_n=4_ballot=6,4,36,4,2,0,0,0,0.0,9.01999999998182e-05,0.00015009999999993084,0.0176801000000002,1,1,1,0,8,1,9,0,1
foods_n=4_ballot=6,4,36,4,1,11,11,6.0,6.0,9.639999999988547e-05,0.04698249999999993,0.05381780000000003,1,1,0,10,10,11,11,9,1
foods_n=4_ballot=6,4,36,4,0,11,11,6.0,6.0,0.0001454999999999096,0.0469911999999999,0.04714850000000004,1,1,0,10,10,11,11,9,1
foods_n=5_ballot=4,5,55,4,2,0,0,0,0.0,0.00012210000000001386,0.0002843000000001261,0.040152100000000246,1,1,1,0,13,1,14,0,1
foods_n=5_ballot=4,5,55,4,1,11,11,6.0,6.0,0.0002677000000002039,0.11174019999999985,0.1220412999999998,1,1,0,23,23,24,24,22,1
foods_n=5_ballot=4,5,55,4,0,10,10,6.0,6.0,0.00016930000000003886,0.09227160000000012,0.1166163,1,1,0,19,20,23,23,18,3
foods_n=5_ballot=6,5,55,5,2,0,0,0,0.0,0.0001024999999996723,0.00024239999999986495,0.040397899999999876,1,1,1,0,13,1,14,0,1
foods_n=5_ballot=6,5,55,5,1,11,11,6.0,6.0,0.00022119999999992146,0.11597990000000014,0.12425920000000001,1,1,0,23,23,24,24,22,1
foods_n=5_ballot=6,5,55,5,0,10,10,6.0,6.0,0.00016550000000004061,0.10712250000000001,0.09918340000000025,1,1,0,19,20,23,23,18,3
foods_n=6_ballot=4,6,56,4,2,0,0,0,0.0,0.00013649999999998386,0.00033649999999996183,0.07028740000000022,1,1,1,0,21,1,22,0,1
foods_n=6_ballot=4,6,56,4,1,11,11,6.0,6.0,0.00016029999999966904,0.22832339999999984,0.24619530000000056,1,1,0,45,45,46,46,44,1
foods_n=6_ballot=4,6,56,4,0,10,10,6.0,6.0,0.0001597000000002069,0.2554803999999997,0.2708938999999999,1,1,0,46,47,51,51,45,3
foods_n=6_ballot=6,6,56,5,2,0,0,0,0.0,0.0001366000000002643,0.00034470000000030865,0.06405860000000008,1,1,1,0,21,1,22,0,1
foods_n=6_ballot=6,6,56,5,1,11,11,6.0,6.0,0.00018109999999982307,0.23131229999999992,0.22715300000000038,1,1,0,45,45,46,46,44,1
foods_n=6_ballot=6,6,56,5,0,10,10,6.0,6.0,0.0002779999999997784,0.2727681999999998,0.25668369999999996,1,1,0,46,47,51,51,45,3
foods_n=7_ballot=4,7,61,4,2,0,0,0,0.0,0.00015880000000034755,0.0005915999999999144,0.1758115,1,1,1,0,52,1,53,0,1
foods_n=7_ballot=4,7,61,4,1,9,9,5.0,5.0,0.0002257999999999427,0.7849391000000008,0.7354657000000007,1,1,0,113,114,115,115,112,1
foods_n=7_ballot=4,7,61,4,0,10,10,6.0,6.0,0.0003844000000006176,1.1111100999999994,1.0758132000000007,1,1,0,155,160,167,167,152,8
foods_n=7_ballot=6,7,61,6,2,0,0,0,0.0,0.00017400000000122873,0.0006085000000002339,0.1761973999999995,1,1,1,0,52,1,53,0,1
foods_n=7_ballot=6,7,61,6,1,9,9,5.0,5.0,0.00022609999999900765,0.7289389999999987,0.7061814999999996,1,1,0,118,119,120,120,117,1
foods_n=7_ballot=6,7,61,6,0,10,10,6.0,6.0,0.0002136999999997613,1.0671353999999997,1.1521860999999998,1,1,0,155,160,167,167,152,8
foods_n=8_ballot=4,8,66,4,2,14,14,8.0,8.0,0.0002844999999993547,10.396426,11.451709000000001,1,1,0,1013,1110,1111,1111,977,36
foods_n=8_ballot=4,8,66,4,1,9,9,5.0,5.0,0.00023350000000021964,1.626897299999996,1.6130314999999982,1,1,0,192,196,197,197,191,1
foods_n=8_ballot=4,8,66,4,0,12,12,8.0,8.0,0.00021980000000354494,19.4496598,22.976548099999995,1,1,0,1454,1800,1801,1801,1320,134
foods_n=8_ballot=6,8,66,6,2,12,12,7.0,7.0,0.0002425999999928763,7.138590300000004,7.931088700000004,1,1,0,656,740,741,741,631,25
foods_n=8_ballot=6,8,66,6,1,9,9,5.0,5.0,0.0002887999999927615,1.6838394000000108,1.6280966000000063,1,1,0,206,211,212,212,205,1
foods_n=8_ballot=6,8,66,6,0,12,12,7.0,7.0,0.00034239999999385873,12.464858499999991,13.643658299999998,1,1,0,943,1068,1069,1069,854,89
foods_n=9_ballot=4,9,68,4,2,15,15,8.0,8.0,0.00025490000000161217,68.7840855,128.77290480000002,1,1,0,5145,6811,6853,6812,6092,181
foods_n=9_ballot=4,9,68,4,1,11,11,6.0,6.0,0.00024299999995491817,11.285980499999994,13.848226399999987,1,1,0,1157,1254,1256,1255,1233,1
foods_n=9_ballot=4,9,68,4,0,12,12,8.0,8.0,0.0007608000000232096,133.69291469999996,206.22992910000005,1,1,0,5603,9052,9455,9053,5772,653
foods_n=9_ballot=6,9,68,6,2,15,15,8.0,8.0,0.00025589999995645485,59.43091419999996,109.91084120000005,1,1,0,4429,5961,6004,5962,5307,180
foods_n=9_ballot=6,9,68,6,1,9,9,5.0,5.0,0.00028029999998580024,6.292236799999955,8.022577400000046,1,1,0,616,701,705,703,664,3
foods_n=9_ballot=6,9,68,6,0,12,12,7.0,7.0,0.00029440000002978195,66.50531809999995,115.25833409999996,1,1,0,3267,5197,5257,5198,3627,441
foods_n=10_ballot=6,10,70,6,2,15,15,8.0,8.0,0.0002749000000004109,870.784532,1777.9093403000002,1,1,0,23076,46224,53563,46225,42060,1965
foods_n=10_ballot=6,10,70,6,1,9,9,5.0,5.0,0.0006744000002072426,126.21212990000004,187.77637700000014,1,1,0,2934,5184,6324,5667,5064,389
foods_n=10_ballot=6,10,70,6,0,15,15,7.0,7.0,0.0002679999997781124,96.29632709999987,185.9625401999997,1,1,0,7510,9765,9839,9766,9836,1
