Dataset,Number_Of_Candidates,Number_of_voters,Max_Ballot_length,Preferred_winner,Upper_Bound,heuristicV1_margin,Our_margin,Blom_margin,heuristicV1_runtime,Our_runtime,Blom_runtime,Margin_Blom=Ours,Upper_bound_correct,HeuristicV1_equl_margin,Our_number_LPS,Blom_number_LPS,Our_number_node_explored,Blom_number_node_explored,Our_blom_lb_calls,Blom_Leaf_node_explored
movieLens_movie=10_ballot=4,10,528,4,Action,2,2,1.0,1.0,0.008482499999999948,2.6122769000000003,5.7627585,1,1,0,444,523,524,524,520,1
movieLens_movie=10_ballot=4,10,528,4,Drama,0,0,0.0,0.0,0.010584099999999097,1.2974362,3.0348173999999997,1,1,1,223,488,489,489,329,1
movieLens_movie=10_ballot=4,10,528,4,War,2,2,1.0,1.0,0.005818800000000124,1.1567600000000002,3.9404886999999995,1,1,0,163,424,425,425,316,1
movieLens_movie=10_ballot=4,10,528,4,Adventure,41,41,13.0,13.0,0.0034692999999990093,13.329791400000001,20.128320800000004,1,1,0,1279,1799,1814,1800,1719,1
movieLens_movie=10_ballot=4,10,528,4,Sci-Fi,41,41,13.0,13.0,0.009294199999999364,18.019297699999996,18.77918840000001,1,1,0,1553,1996,2011,1997,2009,1
movieLens_movie=10_ballot=4,10,528,4,Comedy,0,0,0.0,0.0,0.004316399999993337,1.149650500000007,2.5493859999999984,1,1,1,138,293,294,294,208,1
movieLens_movie=10_ballot=4,10,528,4,Crime,0,0,0.0,0.0,0.0065587999999934254,2.097763900000004,2.693961299999998,1,1,1,273,295,296,296,294,1
movieLens_movie=10_ballot=4,10,528,4,Thriller,0,0,0,0.0,0.009150500000004058,0.039903999999992834,2.3864692000000076,1,1,1,0,274,1,275,0,1
movieLens_movie=10_ballot=4,10,528,4,Romance,11,11,4.0,4.0,0.0016295999999869082,0.6582117999999895,2.835574499999993,1,1,0,71,245,246,246,165,1
movieLens_movie=10_ballot=4,10,528,4,Horror,78,78,23.999999999999996,23.999999999999996,0.0027008999999935668,21.386916999999997,47.27505099999999,1,1,0,363,1646,2051,1647,963,31
movieLens_movie=11_ballot=4,11,530,4,Action,0,0,0.0,0.0,0.009945999999985133,2.7323478000000136,6.1077126000000135,1,1,1,520,613,614,614,611,1
movieLens_movie=11_ballot=4,11,530,4,Drama,0,0,0.0,0.0,0.011850299999991876,1.8368178999999998,6.4953061999999875,1,1,1,291,730,731,731,524,1
movieLens_movie=11_ballot=4,11,530,4,War,0,0,0.0,0.0,0.005615099999999984,1.3489588000000197,5.530616999999978,1,1,1,196,510,511,511,391,1
movieLens_movie=11_ballot=4,11,530,4,Adventure,36,36,13.0,13.0,0.0031740999999954056,16.336737699999986,52.054913699999986,1,1,0,2065,3901,4047,3902,3787,1
movieLens_movie=11_ballot=4,11,530,4,Sci-Fi,36,36,13.0,13.0,0.007251300000007177,20.95481010000003,54.25234130000001,1,1,0,2528,4206,4352,4207,4350,1
movieLens_movie=11_ballot=4,11,530,4,Comedy,2,2,1.0,1.0,0.004713499999979831,1.3273917999999867,6.820732200000009,1,1,0,190,535,536,536,400,1
movieLens_movie=11_ballot=4,11,530,4,Crime,2,2,1.0,1.0,0.00766559999999572,2.601729299999988,6.669085800000005,1,1,0,418,530,531,531,529,1
movieLens_movie=11_ballot=4,11,530,4,Thriller,2,2,1.0,1.0,0.009721700000000055,0.8499580000000151,6.391741200000013,1,1,0,47,500,501,501,289,1
movieLens_movie=11_ballot=4,11,530,4,Romance,11,11,6.0,6.0,0.001678900000001704,1.6322955999999635,26.447785599999975,1,1,0,151,858,862,859,654,1
movieLens_movie=11_ballot=4,11,530,4,Horror,47,47,24.0,24.0,0.001858499999968899,208.5111617,251.16217770000003,1,1,0,1045,5180,9590,5181,4968,28
movieLens_movie=12_ballot=4,12,541,4,Adventure,0,0,0,0.0,0.006719399999951747,0.039997099999936836,10.553485900000055,1,1,1,0,1038,1,1039,0,1
movieLens_movie=12_ballot=4,12,541,4,Animation,0,0,0,0.0,0.002019099999984064,0.023567299999967872,9.121855299999993,1,1,1,0,958,1,959,0,1
movieLens_movie=12_ballot=4,12,541,4,Children,0,0,0,0.0,0.002444900000000416,0.010184200000026067,10.213474399999996,1,1,1,0,958,1,959,0,1
movieLens_movie=12_ballot=4,12,541,4,Comedy,0,0,0.0,0.0,0.0064858999999160005,4.7382246999999325,10.77257320000001,1,1,1,660,1115,1116,1116,909,1
movieLens_movie=12_ballot=4,12,541,4,Fantasy,0,0,0,0.0,0.0018740999998954067,0.012537000000065746,9.43874100000005,1,1,1,0,958,1,959,0,1
movieLens_movie=12_ballot=4,12,541,4,Action,28,28,14.0,14.0,0.012620999999967353,39.91461919999995,184.05879970000012,1,1,0,2394,6251,13500,6252,13289,1
movieLens_movie=12_ballot=4,12,541,4,Drama,13,13,7.0,7.0,0.011940999999978885,10.979379199999812,321.09018389999983,1,1,0,800,5991,6805,5992,5941,1
movieLens_movie=12_ballot=4,12,541,4,War,15,15,8.0,8.0,0.0056917000001703855,5.638610400000061,76.56334489999995,1,1,0,451,2474,2926,2475,2313,1
movieLens_movie=12_ballot=4,12,541,4,Sci-Fi,28,28,14.0,14.0,0.007636800000000221,31.708003699999836,171.72559339999998,1,1,0,1549,5245,12494,5246,12444,1
movieLens_movie=12_ballot=4,12,541,4,Crime,13,13,7.0,7.0,0.00726940000004106,9.055736400000114,302.80902260000016,1,1,0,805,4870,5660,4871,5658,1
movieLens_movie=12_ballot=4,12,541,4,Thriller,13,13,7.0,7.0,0.009653899999648274,6.878829699999642,300.26054380000005,1,1,0,414,4910,5700,4911,5029,1
movieLens_movie=12_ballot=4,12,541,4,Romance,15,15,8.0,8.0,0.002018900000166468,5.049752500000068,71.82661499999995,1,1,0,348,2044,2496,2045,2009,1
movieLens_movie=12_ballot=4,12,541,4,Horror,55,55,28.0,28.0,0.0020959999997103296,143.2729443000003,424.7721671999998,1,1,0,1503,9365,32585,9366,31753,1
movieLens_movie=4_ballot=4,4,472,4,Comedy,0,0,0.0,0.0,0.00033600000006117625,0.02522320000025502,0.029337499999655847,1,1,1,9,9,10,10,8,1
movieLens_movie=4_ballot=4,4,472,4,Crime,0,0,0.0,0.0,0.001234899999872141,0.02044469999964349,0.016094600000087667,1,1,1,6,6,7,7,5,1
movieLens_movie=4_ballot=4,4,472,4,Drama,0,0,0.0,0.0,0.0006980000002840825,0.029726300000220363,0.028429400000277383,1,1,1,9,9,10,10,8,1
movieLens_movie=4_ballot=4,4,472,4,Thriller,0,0,0,0.0,0.0008254000003944384,0.001406300000326155,0.014122900000074878,1,1,1,0,6,1,7,0,1
