Dataset,Number_Of_Candidates,Number_of_voters,Max_Ballot_length,Preferred_winner,Upper_Bound,heuristicV1_margin,Our_margin,Blom_margin,heuristicV1_runtime,Our_runtime,Blom_runtime,Margin_Blom=Ours,Upper_bound_correct,HeuristicV1_equl_margin,Our_number_LPS,Blom_number_LPS,Our_number_node_explored,Blom_number_node_explored,Our_blom_lb_calls,Blom_Leaf_node_explored
movieLens_movie=8_ballot=10000000bs=4,8,47357,4,sor-trondelag,0,0,0,0.0,0.003310799999999503,0.012427300000000585,0.23499980000000065,1,1,1,0,31,1,32,0,1
movieLens_movie=8_ballot=10000000bs=4,8,47357,4,oslo,0,0,0,0.0,0.0033916999999998865,0.012756299999999499,0.2826154999999986,1,1,1,0,31,1,32,0,1
movieLens_movie=8_ballot=10000000bs=4,8,47357,4,akershus,0,0,0,0.0,0.0038201999999998293,0.01316489999999959,0.17705070000000056,1,1,1,0,31,1,32,0,1
movieLens_movie=8_ballot=10000000bs=4,8,47357,4,hedmark,0,0,0,0.0,0.003588099999999983,0.012465200000001175,0.1611855999999996,1,1,1,0,31,1,32,0,1
movieLens_movie=8_ballot=10000000bs=4,8,47357,4,florida,0,0,0,0.0,0.0031517000000000905,0.01188520000000004,0.16248290000000054,1,1,1,0,31,1,32,0,1
movieLens_movie=8_ballot=10000000bs=4,8,47357,4,more og romsdal,0,0,0,0.0,0.003393700000000166,0.012121399999999838,0.15833229999999965,1,1,1,0,31,1,32,0,1
movieLens_movie=8_ballot=10000000bs=4,8,47357,4,nord-trondelag,0,0,0,0.0,0.003618200000000016,0.012392600000000087,0.2260622000000012,1,1,1,0,31,1,32,0,1
movieLens_movie=8_ballot=10000000bs=4,8,47357,4,connecticut,11497,11497,5749.0,5749.0,0.0009922000000006648,0.15701080000000012,1.7686350999999991,1,1,0,3,192,260,193,256,1
movieLens_movie=8_ballot=10000000bs=4,8,47357,4,rogaland,0,0,0,0.0,0.012584099999999765,0.014533600000000035,0.3065502999999996,1,1,1,0,31,1,32,0,1
movieLens_movie=8_ballot=10000000bs=4,8,47357,4,vestfold,0,0,0,0.0,0.005121700000000118,0.014708699999999908,0.2260282999999994,1,1,1,0,31,1,32,0,1
movieLens_movie=8_ballot=10000000bs=4,8,47357,4,vest-agder,0,0,0,0.0,0.004464999999999719,0.01732610000000001,0.19400000000000084,1,1,1,0,31,1,32,0,1
movieLens_movie=8_ballot=10000000bs=4,8,47357,4,cambridgeshire,0,0,0,0.0,0.001454199999999517,0.00547749999999958,0.21440829999999877,1,1,1,0,31,1,32,0,1
movieLens_movie=8_ballot=10000000bs=4,8,47357,4,virginia,10621,10621,5311.0,5311.0,0.0015913000000011834,0.19862690000000072,1.9179429,1,1,0,3,189,254,190,250,1
movieLens_movie=8_ballot=10000000bs=4,8,47357,4,buskerud,0,0,0,0.0,0.003988899999999518,0.01404489999999825,0.1758690999999999,1,1,1,0,31,1,32,0,1
movieLens_movie=8_ballot=10000000bs=4,8,47357,4,massachusetts,12152,12152,6076.0,6076.0,0.0012855999999992207,1.3838922000000018,1.4127845000000008,1,1,0,33,159,374,160,340,1
movieLens_movie=8_ballot=10000000bs=4,8,47357,4,new hampshire,16084,16084,8042.0,8042.0,0.0006129999999977542,1.5537214000000006,3.3525328000000023,1,1,0,31,414,639,415,578,1
movieLens_movie=8_ballot=10000000bs=4,8,47357,4,ostfold,0,0,0,0.0,0.003994299999998674,0.01369460000000089,0.1967774999999996,1,1,1,0,31,1,32,0,1
