Dataset,Number_Of_Candidates,Number_of_voters,Max_Ballot_length,Preferred_winner,Upper_Bound,heuristicV1_margin,Our_margin,Blom_margin,heuristicV1_runtime,Our_runtime,Blom_runtime,Margin_Blom=Ours,Upper_bound_correct,HeuristicV1_equl_margin,Our_number_LPS,Blom_number_LPS,Our_number_node_explored,Blom_number_node_explored,Our_blom_lb_calls,Blom_Leaf_node_explored
adressa=8_ballot=10000bs=4,8,10000,4,sor-trondelag,0,0,0,0.0,0.0034839000000008724,0.011850700000000103,0.1856056000000006,1,1,1,0,28,1,29,0,1
adressa=8_ballot=10000bs=4,8,10000,4,oslo,0,0,0,0.0,0.0034226999999997787,0.011594799999999239,0.13254339999999942,1,1,1,0,28,1,29,0,1
adressa=8_ballot=10000bs=4,8,10000,4,akershus,0,0,0,0.0,0.0033379000000000048,0.0131768000000001,0.2013997000000014,1,1,1,0,28,1,29,0,1
adressa=8_ballot=10000bs=4,8,10000,4,hedmark,0,0,0,0.0,0.00539909999999999,0.013248600000000721,0.129170199999999,1,1,1,0,28,1,29,0,1
adressa=8_ballot=10000bs=4,8,10000,4,florida,0,0,0,0.0,0.003025100000000336,0.011334899999999593,0.12282579999999932,1,1,1,0,28,1,29,0,1
adressa=8_ballot=10000bs=4,8,10000,4,more og romsdal,0,0,0,0.0,0.003932999999999964,0.011610099999998624,0.13335449999999938,1,1,1,0,28,1,29,0,1
adressa=8_ballot=10000bs=4,8,10000,4,nord-trondelag,0,0,0,0.0,0.0034664000000006467,0.0119138999999997,0.15140990000000087,1,1,1,0,28,1,29,0,1
adressa=8_ballot=10000bs=4,8,10000,4,connecticut,1617,1617,1044.0,1044.0,0.0021674999999987676,5.1448535,0.6397577999999982,1,1,0,120,63,339,64,218,1
adressa=8_ballot=10000bs=4,8,10000,4,rogaland,0,0,0,0.0,0.004009700000001004,0.012823600000000823,0.1970983000000004,1,1,1,0,28,1,29,0,1
adressa=8_ballot=10000bs=4,8,10000,4,vestfold,0,0,0,0.0,0.0046276000000027295,0.01315659999999852,0.24690760000000012,1,1,1,0,28,1,29,0,1
adressa=8_ballot=10000bs=4,8,10000,4,vest-agder,0,0,0,0.0,0.007520100000000696,0.016043199999998592,0.15209009999999878,1,1,1,0,28,1,29,0,1
adressa=8_ballot=10000bs=4,8,10000,4,cambridgeshire,0,0,0,0.0,0.003616600000000858,0.013223499999998722,0.15534820000000238,1,1,1,0,28,1,29,0,1
adressa=8_ballot=10000bs=4,8,10000,4,virginia,582,582,291.0,291.0,0.0015807000000016558,0.049052299999999605,0.6049331000000002,1,1,0,1,61,64,62,62,1
adressa=8_ballot=10000bs=4,8,10000,4,buskerud,0,0,0,0.0,0.003461299999997891,0.012099199999997978,0.13827209999999823,1,1,1,0,28,1,29,0,1
adressa=8_ballot=10000bs=4,8,10000,4,massachusetts,1617,1617,1044.0,1044.0,0.000805899999999582,4.596500299999999,0.5863492000000008,1,1,0,120,63,339,64,218,1
adressa=8_ballot=10000bs=4,8,10000,4,new hampshire,3508,3508,2103.0,2103.0,0.00046639999999698034,22.0180094,29.7654275,1,1,0,560,2042,4165,2043,2171,115
adressa=8_ballot=10000bs=4,8,10000,4,ostfold,0,0,0,0.0,0.003108699999998521,0.012174400000006358,0.13970109999999636,1,1,1,0,28,1,29,0,1
adressa=8_ballot=10000bs=4,8,10000,4,auckland,0,0,0,0.0,0.0019487999999938665,0.007364600000002497,0.13514000000000692,1,1,1,0,28,1,29,0,1
adressa=8_ballot=10000bs=4,8,10000,4,nordland,0,0,0,0.0,0.0031139999999965084,0.011290099999996528,0.14398760000000266,1,1,1,0,28,1,29,0,1
adressa=8_ballot=10000bs=4,8,10000,4,rio grande do norte,582,582,291.0,291.0,0.0025468999999986863,0.06432200000000421,0.641099699999998,1,1,0,1,61,64,62,62,1
adressa=8_ballot=10000bs=4,8,10000,4,finnmark,0,0,0,0.0,0.0035331999999925756,0.012049099999998703,0.12742060000000777,1,1,1,0,28,1,29,0,1
adressa=8_ballot=10000bs=4,8,10000,4,new york,0,0,0,0.0,0.0009577999999947906,0.002675499999995168,0.16351500000000385,1,1,1,0,28,1,29,0,1
adressa=8_ballot=10000bs=4,8,10000,4,sogn og fjordane,0,0,0,0.0,0.004589199999998073,0.012480199999998831,0.25860589999999206,1,1,1,0,28,1,29,0,1
adressa=8_ballot=10000bs=4,8,10000,4,telemark,0,0,0,0.0,0.012033600000009415,0.014955099999994559,0.17666119999999808,1,1,1,0,28,1,29,0,1
adressa=8_ballot=10000bs=4,8,10000,4,aust-agder,0,0,0,0.0,0.008353400000004285,0.017538799999996968,0.17219159999999079,1,1,1,0,28,1,29,0,1
adressa=8_ballot=10000bs=4,8,10000,4,oppland,0,0,0,0.0,0.00443570000000193,0.013456099999999083,0.14174309999999934,1,1,1,0,28,1,29,0,1
adressa=8_ballot=10000bs=4,8,10000,4,hordaland,0,0,0,0.0,0.004161800000005655,0.012902199999999198,0.1555690999999939,1,1,1,0,28,1,29,0,1
adressa=8_ballot=10000bs=4,8,10000,4,stockholms lan,0,0,0,0.0,0.004288199999990638,0.01574650000000588,0.24661129999999787,1,1,1,0,28,1,29,0,1
adressa=8_ballot=10000bs=4,8,10000,4,georgia,582,582,291.0,291.0,0.0005462999999963358,0.04817699999999547,0.6242672000000056,1,1,0,1,61,64,62,62,1
adressa=8_ballot=10000bs=4,8,10000,4,roma,0,0,0,0.0,0.000911299999998505,0.0033657000000033577,0.19490469999999505,1,1,1,0,28,1,29,0,1
adressa=8_ballot=10000bs=4,8,10000,4,alsace,0,0,0,0.0,0.0029973000000040884,0.012398699999991436,0.21130930000001058,1,1,1,0,28,1,29,0,1
adressa=8_ballot=10000bs=4,8,10000,4,jamtlands lan,0,0,0,0.0,0.003794200000001524,0.013358499999995388,0.1392041000000006,1,1,1,0,28,1,29,0,1
adressa=8_ballot=10000bs=4,8,10000,4,sjaelland,0,0,0,0.0,0.0014313000000072407,0.005050299999993513,0.1302163999999948,1,1,1,0,28,1,29,0,1
adressa=8_ballot=10000bs=4,8,10000,4,santa cruz de tenerife,0,0,0,0.0,0.0018477999999930717,0.0062202999999954045,0.13381249999999056,1,1,1,0,28,1,29,0,1
adressa=8_ballot=10000bs=4,8,10000,4,troms,0,0,0,0.0,0.0034000999999932446,0.011628099999995811,0.14668960000000197,1,1,1,0,28,1,29,0,1
adressa=8_ballot=10000bs=4,8,10000,4,faro,582,582,291.0,291.0,0.0015281999999956497,0.04748349999999846,0.6629788999999988,1,1,0,1,61,64,62,62,1
adressa=8_ballot=10000bs=4,8,10000,4,antioquia,0,0,0,0.0,0.001787399999997774,0.005842499999999973,0.1694321999999886,1,1,1,0,28,1,29,0,1
adressa=8_ballot=10000bs=4,8,10000,4,nordrhein-westfalen,0,0,0,0.0,0.0038079000000124097,0.013363499999996975,0.19483939999999222,1,1,1,0,28,1,29,0,1
adressa=8_ballot=10000bs=4,8,10000,4,british columbia,0,0,0,0.0,0.005509099999997602,0.009883599999994885,0.1597119000000049,1,1,1,0,28,1,29,0,1
adressa=8_ballot=10000bs=4,8,10000,4,valencia,0,0,0,0.0,0.00112249999999392,0.004491200000003914,0.13112749999999096,1,1,1,0,28,1,29,0,1
adressa=8_ballot=10000bs=4,8,10000,4,las palmas,0,0,0,0.0,0.0034105999999951564,0.011915599999994697,0.2436727999999988,1,1,1,0,28,1,29,0,1
adressa=8_ballot=10000bs=4,8,10000,4,rio de janeiro,0,0,0,0.0,0.0009315000000071905,0.003140799999997057,0.15333820000000742,1,1,1,0,28,1,29,0,1
adressa=8_ballot=10000bs=4,8,10000,4,hovedstaden,0,0,0,0.0,0.006900299999998083,0.013533800000004703,0.16499600000000214,1,1,1,0,28,1,29,0,1
adressa=8_ballot=10000bs=4,8,10000,4,capital federal,582,582,291.0,291.0,0.0004801000000043132,0.04706629999999734,0.6400720000000035,1,1,0,1,61,64,62,62,1
adressa=8_ballot=10000bs=4,8,10000,4,bruxelles-capitale,1617,1617,1044.0,1044.0,0.0010261999999983118,4.740902800000001,0.5576456000000007,1,1,0,120,63,339,64,218,1
adressa=8_ballot=10000bs=4,8,10000,4,vastra gotalands lan,0,0,0,0.0,0.0034634999999951788,0.01270759999999882,0.17697369999999069,1,1,1,0,28,1,29,0,1
adressa=8_ballot=10000bs=4,8,10000,4,granada,582,582,291.0,291.0,0.0023120999999974856,0.10639079999999979,0.5596741999999892,1,1,0,1,61,64,62,62,1
adressa=8_ballot=10000bs=4,8,10000,4,rheinland-pfalz,0,0,0,0.0,0.0008337000000011585,0.002729200000004539,0.17939020000000028,1,1,1,0,28,1,29,0,1
adressa=8_ballot=10000bs=4,8,10000,4,selangor,0,0,0,0.0,0.0021131000000025324,0.0038207000000056723,0.1618792999999954,1,1,1,0,28,1,29,0,1
adressa=8_ballot=10000bs=4,8,10000,4,valladolid,582,582,291.0,291.0,0.0005388000000010607,0.044515200000006416,0.7111972999999949,1,1,0,1,61,64,62,62,1
adressa=8_ballot=10000bs=4,8,10000,4,worcestershire,3508,3508,2103.0,2103.0,0.0005199000000004617,26.228802799999997,27.5699068,1,1,0,560,2042,4165,2043,2171,115
adressa=8_ballot=10000bs=4,8,10000,4,bayern,0,0,0,0.0,0.002915500000000293,0.008103699999992386,0.1391597999999874,1,1,1,0,28,1,29,0,1
adressa=8_ballot=10000bs=4,8,10000,4,malopolskie,0,0,0,0.0,0.0016850999999746819,0.006603100000006634,0.13185800000002246,1,1,1,0,28,1,29,0,1
adressa=8_ballot=10000bs=4,8,10000,4,victoria,582,582,291.0,291.0,0.0010581999999885738,0.05103330000000028,0.5146071000000063,1,1,0,1,61,64,62,62,1
adressa=8_ballot=10000bs=4,8,10000,4,uusimaa,0,0,0,0.0,0.002829999999988786,0.008182399999981271,0.1513420999999937,1,1,1,0,28,1,29,0,1
adressa=8_ballot=10000bs=4,8,10000,4,phaket,0,0,0,0.0,0.0012743999999997868,0.004559900000003836,0.1452132000000006,1,1,1,0,28,1,29,0,1
adressa=8_ballot=10000bs=4,8,10000,4,manila,582,582,291.0,291.0,0.0022759999999948377,0.05639510000000314,0.5770598000000007,1,1,0,1,61,64,62,62,1
adressa=8_ballot=10000bs=4,8,10000,4,western australia,3508,3508,2103.0,2103.0,0.0010431999999980235,36.08796369999999,54.531368799999996,1,1,0,1028,3936,8053,3937,4131,211
adressa=8_ballot=10000bs=4,8,10000,4,phnom penh,0,0,0,0.0,0.001881900000000769,0.0067381000000068525,0.14406649999997967,1,1,1,0,28,1,29,0,1
adressa=8_ballot=10000bs=4,8,10000,4,nonthaburi,0,0,0,0.0,0.001930999999984806,0.006463699999983419,0.13695049999998332,1,1,1,0,28,1,29,0,1
adressa=8_ballot=10000bs=4,8,10000,4,ostergotlands lan,0,0,0,0.0,0.003075799999976425,0.009894000000002734,0.133003599999995,1,1,1,0,28,1,29,0,1
adressa=8_ballot=10000bs=4,8,10000,4,alicante,0,0,0,0.0,0.002963099999988117,0.01112430000000586,0.13159620000001837,1,1,1,0,28,1,29,0,1
adressa=8_ballot=10000bs=4,8,10000,4,madrid,0,0,0,0.0,0.0029167999999799576,0.010579199999995126,0.13097920000001295,1,1,1,0,28,1,29,0,1
adressa=8_ballot=10000bs=4,8,10000,4,krung thep maha nakhon bangkok,0,0,0,0.0,0.0026541000000008808,0.008918999999991684,0.1289173000000119,1,1,1,0,28,1,29,0,1
adressa=8_ballot=10000bs=4,8,10000,4,gavleborgs lan,0,0,0,0.0,0.0026031000000159565,0.010891000000015083,0.15302470000000312,1,1,1,0,28,1,29,0,1
adressa=8_ballot=10000bs=4,8,10000,4,norway,0,0,0,0.0,0.0014785999999844535,0.004698999999988018,0.1498282999999958,1,1,1,0,28,1,29,0,1
adressa=8_ballot=10000bs=4,8,10000,4,vasternorrlands lan,0,0,0,0.0,0.0030181000000197855,0.0097953000000075,0.12927110000001107,1,1,1,0,28,1,29,0,1
