Dataset,Number_Of_Candidates,Number_of_voters,Max_Ballot_length,Initial winner,Preferred winner,Number Ballots add,Heuristic v2 margin,Upper limit margin,heuristic v2 runtime,baseline runtime,avg heap modify 
adressa=500_ballot=4,500,491,4,11,0,8,3,8,0.0559752,0.1683765,470
adressa=500_ballot=4,500,491,4,11,0,128,3,128,0.0752504,0.7083815,470
adressa=1000_ballot=4,1000,985,4,0,11,64,27,64,0.1251376,0.9014923,930
adressa=1000_ballot=4,1000,985,4,0,4,256,91,256,0.1066249,1.4002932,943
adressa=5000_ballot=4,5000,4907,4,0,12,2048,497,2048,0.7996336,12.130884,4690
adressa=5000_ballot=4,5000,4907,4,0,2,2048,504,2048,0.6459904,12.6798798,4786
adressa=10000_ballot=4,10000,9775,4,0,11,8192,1577,8192,1.1452442,29.8403775,9794
adressa=10000_ballot=4,10000,9775,4,0,11,4096,1577,4096,1.56883,24.9195497,9794
adressa=50000_ballot=4,50000,26656,4,0,2,16384,3089,16384,5.0572559,105.43572,25465
adressa=50000_ballot=4,50000,26656,4,0,18,16384,5079,16384,4.8863984,106.0539914,25367
adressa=100000_ballot=4,100000,26656,4,0,5,8192,2105,8192,7.3195687,122.9373494,24853
adressa=100000_ballot=4,100000,26656,4,0,5,8192,2105,8192,7.3132369,126.2851365,24853
