Dataset,Number_Of_Candidates,Number_of_voters,Max_Ballot_length,Preferred_winner,Upper_Bound,heuristicV1_margin,Our_margin,Blom_margin,heuristicV1_runtime,Our_runtime,Blom_runtime,Margin_Blom=Ours,Upper_bound_correct,HeuristicV1_equl_margin,Our_number_LPS,Blom_number_LPS,Our_number_node_explored,Blom_number_node_explored,Our_blom_lb_calls,Blom_Leaf_node_explored
book=10_ballot=4,10,374,4,2002,46,46,23,23,0.0014413,14.9402611,16.7492492,1,1,0,661,790,889,791,796,17
book=10_ballot=4,10,374,4,2001,0,0,0,0,0.0011468,0.0050073,1.560387,1,1,1,0,168,1,169,0,1
book=10_ballot=4,10,374,4,1991,15,15,9,9,0.0033575,3.5982066,5.8650514,1,1,0,296,390,391,391,365,1
book=10_ballot=4,10,374,4,1999,13,13,7,7,0.002686,2.357515,2.9198735,1,1,0,172,240,247,241,227,1
book=10_ballot=4,10,374,4,2000,37,37,19,19,0.0011856,16.4938952,24.6794764,1,1,0,697,922,1009,923,897,27
book=10_ballot=4,10,374,4,1993,7,7,4,4,0.0012063,0.9696881,2.1121149,1,1,0,60,135,136,136,121,1
book=10_ballot=4,10,374,4,1996,37,37,19,19,0.00127,175.5772896,264.7324571,1,1,0,4604,6552,6845,6557,6051,414
book=4_ballot=4,4,40,4,2002,10,10,4,4,0.0003551,0.0358995,0.0386251,1,1,0,9,9,10,10,7,2
book=4_ballot=4,4,40,4,2001,0,0,0,0,0.0001107,0.0001935,0.0204325,1,1,1,0,6,1,7,0,1
book=4_ballot=4,4,40,4,1991,0,0,0,0,0.0001716,0.0002916,0.0183884,1,1,1,0,6,1,7,0,1
book=5_ballot=4,5,78,4,2002,18,18,9,9,0.0008238,0.1008012,0.0934821,1,1,0,20,20,21,21,19,1
book=5_ballot=4,5,78,4,2001,0,0,0,0,0.0002023,0.0004437,0.0399759,1,1,1,0,12,1,13,0,1
book=5_ballot=4,5,78,4,1991,6,6,3,3,0.0002434,0.0422716,0.047478,1,1,0,10,10,11,11,9,1
book=5_ballot=4,5,78,4,1999,14,14,7,7,0.0002884,0.0952061,0.1065065,1,1,0,20,20,21,21,19,1
book=6_ballot=4,6,116,4,2002,19,19,10,10,0.0004165,0.1698948,0.1732615,1,1,0,33,34,35,35,32,1
book=6_ballot=4,6,116,4,2001,0,0,0,0,0.000315,0.0010632,0.0566661,1,1,1,0,18,1,19,0,1
book=6_ballot=4,6,116,4,1991,4,4,2,2,0.0003077,0.0468859,0.094518,1,1,0,9,18,19,19,15,1
book=6_ballot=4,6,116,4,1999,16,16,8,8,0.002144,0.2641775,0.2746372,1,1,0,50,53,59,59,53,2
book=7_ballot=4,7,167,4,2002,23,23,12,12,0.0006465,0.4394492,0.4432384,1,1,0,68,69,70,70,66,2
book=7_ballot=4,7,167,4,2001,0,0,0,0,0.0005347,0.0017503,0.1394991,1,1,1,0,33,1,34,0,1
book=7_ballot=4,7,167,4,1991,8,8,4,4,0.0011431,0.3713918,0.4389538,1,1,0,61,75,76,76,69,1
book=7_ballot=4,7,167,4,1999,18,18,9,9,0.0009609,0.3769692,0.3939554,1,1,0,68,74,75,75,67,1
book=8_ballot=4,8,246,4,2002,38,38,19,19,0.0009006,1.4840629,1.4170291,1,1,0,211,211,212,212,210,1
book=8_ballot=4,8,246,4,2001,0,0,0,0,0.0006424,0.0023031,0.2350167,1,1,1,0,51,1,52,0,1
book=8_ballot=4,8,246,4,1991,22,22,11,11,0.0013502,0.7171889,0.6993528,1,1,0,105,105,106,106,104,1
book=8_ballot=4,8,246,4,1999,22,22,11,11,0.0018928,0.9416642,0.873787,1,1,0,112,113,114,114,111,1
book=8_ballot=4,8,246,4,2000,28,28,14,14,0.0008261,1.403142,1.4402891,1,1,0,151,164,173,173,148,5
book=9_ballot=4,9,313,4,2002,36,36,20,20,0.0010337,6.1048099,7.4972849,1,1,0,383,459,481,469,411,15
book=9_ballot=4,9,313,4,2001,0,0,0,0,0.0009441,0.0032992,0.4819316,1,1,1,0,83,1,84,0,1
book=9_ballot=4,9,313,4,1991,16,16,9,9,0.0023414,1.3305385,2.0306866,1,1,0,138,162,163,163,161,1
book=9_ballot=4,9,313,4,1999,14,14,7,7,0.0024135,1.9018182,2.1398658,1,1,0,162,187,188,188,174,1
book=9_ballot=4,9,313,4,2000,28,28,15,15,0.0012331,4.0507748,5.4718334,1,1,0,282,361,365,362,312,9
book=9_ballot=4,9,313,4,1993,15,15,8,8,0.001065,0.9170899,1.3054174,1,1,0,83,108,109,109,103,1
