Dataset,Number_Of_Candidates,Number_of_voters,Max_Ballot_length,Preferred_winner,Upper_Bound,heuristicV1_margin,Our_margin,Blom_margin,heuristicV1_runtime,Our_runtime,Blom_runtime,Margin_Blom=Ours,Upper_bound_correct,HeuristicV1_equl_margin,Our_number_LPS,Blom_number_LPS,Our_number_node_explored,Blom_number_node_explored,Our_blom_lb_calls,Blom_Leaf_node_explored
movieLens_movie=8_ballot=100bs=4,8,100,4,Action,0,0,0.0,0.0,0.0013825000000000642,0.06724780000000008,0.8069502000000002,1,1,1,1,166,167,167,165,1
movieLens_movie=8_ballot=100bs=4,8,100,4,Drama,0,0,0.0,0.0,0.001455800000000007,0.09567389999999998,0.9580565999999999,1,1,1,1,218,219,219,217,1
movieLens_movie=8_ballot=100bs=4,8,100,4,War,0,0,0.0,0.0,0.0007187000000001831,0.06112149999999961,0.6139317999999996,1,1,1,1,120,121,121,119,1
movieLens_movie=8_ballot=100bs=4,8,100,4,Adventure,7,7,2.0,2.0,0.002532099999999815,0.12333630000000007,1.8693355,1,1,0,1,240,277,241,225,1
movieLens_movie=8_ballot=100bs=4,8,100,4,Sci-Fi,7,7,2.0,2.0,0.0011500999999993766,0.09405980000000014,1.8195791999999997,1,1,0,1,259,296,260,294,1
movieLens_movie=8_ballot=100bs=4,8,100,4,Comedy,3,3,2.0,2.0,0.0016980000000010875,0.11435220000000079,3.1017295999999988,1,1,0,1,472,473,473,470,1
movieLens_movie=8_ballot=100bs=4,8,100,4,Crime,1,1,1,1.0,0.0010308999999999457,0.021152100000000118,1.3494583999999996,1,1,1,0,225,132,226,60,1
movieLens_movie=8_ballot=100bs=4,8,100,4,Thriller,3,3,2.0,2.0,0.0016122000000002856,0.0700219999999998,2.2382784000000004,1,1,0,1,328,329,329,154,1
movieLens_movie=8_ballot=100bs=4,8,100,4,Romance,7,7,3.0,3.0,0.00044719999999998095,0.08505869999999938,1.8959138000000006,1,1,0,1,263,275,264,271,1
movieLens_movie=8_ballot=100bs=4,8,100,4,Horror,11,11,6.0,6.0,0.0006191999999991538,1.6124097000000006,2.147573399999999,1,1,0,40,195,320,196,212,5
movieLens_movie=8_ballot=10bs=4,8,10,4,Action,2,2,1.0,1.0,0.0002704999999991742,0.7998396999999997,2.825115199999999,1,1,0,19,437,560,438,519,1
movieLens_movie=8_ballot=10bs=4,8,10,4,Drama,0,0,0.0,0.0,0.0004193000000007885,0.039205500000001337,0.25706050000000147,1,1,1,1,66,67,67,64,1
movieLens_movie=8_ballot=10bs=4,8,10,4,War,2,2,1.0,1.0,0.00013859999999965567,0.6513561999999986,2.762689599999998,1,1,0,19,439,542,440,472,1
movieLens_movie=8_ballot=10bs=4,8,10,4,Adventure,4,4,2.0,2.0,0.00017100000000169757,0.47437809999999914,10.270026000000001,1,1,0,12,1149,761,1150,743,21
movieLens_movie=8_ballot=10bs=4,8,10,4,Sci-Fi,3,3,1.0,1.0,0.00024530000000311247,0.13050669999999798,1.8945000999999948,1,1,0,4,270,297,271,279,2
movieLens_movie=8_ballot=10bs=4,8,10,4,Comedy,0,0,0.0,0.0,0.00012929999999755637,0.02920249999999669,0.22479710000000352,1,1,1,1,52,53,53,50,1
