Dataset,Number_Of_Candidates,Number_of_voters,Max_Ballot_length,Preferred_winner,Upper_Bound,heuristicV1_margin,Our_margin,Blom_margin,heuristicV1_runtime,Our_runtime,Blom_runtime,Margin_Blom=Ours,Upper_bound_correct,HeuristicV1_equl_margin,Our_number_LPS,Blom_number_LPS,Our_number_node_explored,Blom_number_node_explored,Our_blom_lb_calls,Blom_Leaf_node_explored
movieLens_movie=8_ballot=10000000bs=4,8,523,4,Action,0,0,0.0,0.0,0.004817300000000024,0.22951260000000007,0.8561762000000002,1,1,1,1,191,192,192,190,1
movieLens_movie=8_ballot=10000000bs=4,8,523,4,Drama,0,0,0.0,0.0,0.005751000000000062,0.1542380999999997,1.1732961,1,1,1,1,247,248,248,167,1
movieLens_movie=8_ballot=10000000bs=4,8,523,4,War,0,0,0.0,0.0,0.002707000000000015,0.11403159999999968,0.7974617999999998,1,1,1,1,170,171,171,122,1
movieLens_movie=8_ballot=10000000bs=4,8,523,4,Adventure,47,47,14.0,14.0,0.0028744000000004988,0.25477600000000056,2.6896115,1,1,0,1,396,400,397,398,1
movieLens_movie=8_ballot=10000000bs=4,8,523,4,Sci-Fi,47,47,14.0,14.0,0.00418310000000055,0.2619655999999999,2.6673533000000003,1,1,0,1,409,413,410,411,1
movieLens_movie=8_ballot=10000000bs=4,8,523,4,Comedy,6,6,3.0,3.0,0.005964600000000431,0.14258850000000045,1.1411023,1,1,0,1,199,200,200,127,1
movieLens_movie=8_ballot=10000000bs=4,8,523,4,Crime,6,6,3.0,3.0,0.004586500000000271,0.14494810000000058,1.0589614000000012,1,1,0,1,196,197,197,172,1
movieLens_movie=8_ballot=10000000bs=4,8,523,4,Thriller,6,6,3.0,3.0,0.006093200000000465,0.10806350000000009,1.0535201,1,1,0,1,181,182,182,78,1
movieLens_movie=8_ballot=10000000bs=4,8,523,4,Romance,15,15,8.0,8.0,0.0014329999999986853,0.12924389999999875,1.0395578999999984,1,1,0,1,183,193,184,124,1
movieLens_movie=8_ballot=10000000bs=4,8,523,4,Horror,44,44,22.0,22.0,0.001533799999997143,0.8329208999999977,4.111045100000002,1,1,0,18,290,286,304,206,8
movieLens_movie=8_ballot=10000000bs=5,8,523,5,Action,0,0,0.0,0.0,0.006237500000001006,0.17710710000000063,0.9891749999999995,1,1,1,1,196,197,197,195,1
